name,url,cr,type,size,ac,hp,align,legendary,source,release_date,str,dex,con,int,wis,cha,fly_speed,swim_speed,type_grouped,align_grouped,source_grouped
carrion-crawler,,2.0,monstrosity,Large,13,51,unaligned,0,Monster Manual,30/09/2014,14.0,13.0,16.0,1.0,12.0,5.0,0,0,monstrosity,Unaligned,Monster Manual
cat,https://www.aidedd.org/dnd/monstres.php?vo=cat,0.0,beast,Tiny,12,2,unaligned,0,Monster Manual (SRD),12/01/2016,3.0,15.0,10.0,3.0,12.0,7.0,0,0,beast,Unaligned,Monster Manual (SRD)
catoblepas,,5.0,monstrosity,Large,14,84,unaligned,0,Volo's Guide to Monsters,15/11/2016,19.0,12.0,21.0,3.0,14.0,8.0,0,0,monstrosity,Unaligned,Volo's Guide to Monsters
cave-fisher,,3.0,monstrosity,Medium,16,58,unaligned,0,Volo's Guide to Monsters,15/11/2016,16.0,13.0,14.0,3.0,10.0,3.0,0,0,monstrosity,Unaligned,Volo's Guide to Monsters
centaur,https://www.aidedd.org/dnd/monstres.php?vo=centaur,2.0,monstrosity,Large,12,45,neutral good,0,Monster Manual (SRD),12/01/2016,18.0,14.0,14.0,9.0,13.0,11.0,0,0,monstrosity,Good,Monster Manual (SRD)
chain-devil,https://www.aidedd.org/dnd/monstres.php?vo=chain-devil,8.0,fiend (devil),Medium,16,85,lawful evil,0,Monster Manual (SRD),12/01/2016,18.0,15.0,18.0,11.0,12.0,14.0,0,0,fiend,Evil,Monster Manual (SRD)
champion,,9.0,humanoid (any race),Medium,18,143,any alignment,0,Volo's Guide to Monsters,15/11/2016,20.0,15.0,14.0,10.0,14.0,12.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
chasme,,6.0,fiend (demon),Large,15,84,chaotic evil,0,Monster Manual,30/09/2014,15.0,15.0,12.0,11.0,14.0,10.0,1,0,fiend,Evil,Monster Manual
chimera,https://www.aidedd.org/dnd/monstres.php?vo=chimera,6.0,monstrosity,Large,14,114,chaotic evil,0,Monster Manual (SRD),12/01/2016,19.0,11.0,19.0,3.0,14.0,10.0,1,0,monstrosity,Evil,Monster Manual (SRD)
chitine,,0.5,monstrosity,Small,14,18,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,10.0,14.0,12.0,10.0,10.0,7.0,0,0,monstrosity,Evil,Volo's Guide to Monsters
choker,,1.0,aberration,Small,16,13,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,16.0,14.0,13.0,4.0,12.0,7.0,0,0,aberration,Evil,Mordenkainen's Tome of Foes
choldrith,,3.0,monstrosity,Medium,15,66,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,12.0,16.0,12.0,11.0,14.0,10.0,0,0,monstrosity,Evil,Volo's Guide to Monsters
chuul,https://www.aidedd.org/dnd/monstres.php?vo=chuul,4.0,aberration,Large,16,93,chaotic evil,0,Monster Manual (SRD),12/01/2016,19.0,10.0,16.0,5.0,11.0,5.0,0,1,aberration,Evil,Monster Manual (SRD)
clay-golem,https://www.aidedd.org/dnd/monstres.php?vo=clay-golem,9.0,construct,Large,14,133,unaligned,0,Monster Manual (SRD),12/01/2016,20.0,9.0,18.0,3.0,8.0,1.0,0,0,construct,Unaligned,Monster Manual (SRD)
cloaker,https://www.aidedd.org/dnd/monstres.php?vo=cloaker,8.0,aberration,Large,14,78,chaotic neutral,0,Monster Manual (SRD),12/01/2016,17.0,15.0,12.0,13.0,12.0,14.0,1,0,aberration,Neutral,Monster Manual (SRD)
cloud-giant,https://www.aidedd.org/dnd/monstres.php?vo=cloud-giant,9.0,giant,Huge,14,200,neutral good,0,Monster Manual (SRD),12/01/2016,27.0,10.0,22.0,12.0,16.0,16.0,0,0,giant,Good,Monster Manual (SRD)
cloud-giant-smiling-one,,11.0,giant (cloud giant),Huge,15,262,chaotic neutral,0,Volo's Guide to Monsters,15/11/2016,26.0,12.0,22.0,15.0,16.0,17.0,0,0,giant,Neutral,Volo's Guide to Monsters
cockatrice,https://www.aidedd.org/dnd/monstres.php?vo=cockatrice,0.5,monstrosity,Small,11,27,unaligned,0,Monster Manual (SRD),12/01/2016,6.0,12.0,12.0,2.0,13.0,5.0,1,0,monstrosity,Unaligned,Monster Manual (SRD)
commoner,https://www.aidedd.org/dnd/monstres.php?vo=commoner,0.0,humanoid (any race),Medium,10,4,any alignment,0,Monster Manual (SRD),12/01/2016,10.0,10.0,10.0,10.0,10.0,10.0,0,0,humanoid,Neutral,Monster Manual (SRD)
conjurer,,6.0,humanoid (any race),Medium,12,40,any alignment,0,Volo's Guide to Monsters,15/11/2016,9.0,14.0,11.0,17.0,12.0,11.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=constrictor-snake,0.25,beast,Large,12,13,unaligned,0,Monster Manual (SRD),12/01/2016,15.0,14.0,12.0,1.0,10.0,3.0,0,1,beast,Unaligned,Monster Manual (SRD)
copper-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=copper-dragon-wyrmling,1.0,dragon,Medium,16,22,chaotic good,0,Monster Manual (SRD),12/01/2016,15.0,12.0,13.0,14.0,11.0,13.0,1,0,dragon,Good,Monster Manual (SRD)
corpse-flower,,8.0,plant,Large,12,127,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,14.0,14.0,16.0,7.0,15.0,3.0,0,0,plant,Evil,Mordenkainen's Tome of Foes
couatl,https://www.aidedd.org/dnd/monstres.php?vo=couatl,4.0,celestial,Medium,19,97,lawful good,0,Monster Manual (SRD),12/01/2016,16.0,20.0,17.0,18.0,20.0,18.0,1,0,celestial,Good,Monster Manual (SRD)
cow,https://www.aidedd.org/dnd/monstres.php?vo=cow,0.25,beast,Large,10,15,unaligned,0,Volo's Guide to Monsters,15/11/2016,18.0,10.0,14.0,2.0,10.0,4.0,0,0,beast,Unaligned,Volo's Guide to Monsters
crab,https://www.aidedd.org/dnd/monstres.php?vo=crab,0.0,beast,Tiny,11,2,unaligned,0,Monster Manual (SRD),12/01/2016,2.0,11.0,10.0,1.0,8.0,2.0,0,1,beast,Unaligned,Monster Manual (SRD)
crag-cat,,1.0,beast,Large,13,34,unaligned,0,Adventures (Storm King's Thunder),06/09/2016,16.0,17.0,16.0,4.0,14.0,8.0,0,0,beast,Unaligned,Adventures
cranium-rat,,0.0,beast,Tiny,12,2,lawful evil,0,Volo's Guide to Monsters,15/11/2016,2.0,14.0,10.0,4.0,11.0,8.0,0,0,beast,Evil,Volo's Guide to Monsters
crawling-claw,https://www.aidedd.org/dnd/monstres.php?vo=crawling-claw,0.0,undead,Tiny,12,2,neutral evil,0,Monster Manual (BR),03/07/2014,13.0,14.0,11.0,5.0,10.0,4.0,0,0,undead,Evil,Monster Manual (BR)
crocodile,https://www.aidedd.org/dnd/monstres.php?vo=crocodile,0.5,beast,Large,12,19,unaligned,0,Monster Manual (SRD),12/01/2016,15.0,10.0,13.0,2.0,10.0,5.0,0,1,beast,Unaligned,Monster Manual (SRD)
crokek-toeck,,14.0,fiend (demon),Gargantuan,15,297,chaotic evil,0,Adventures (Descent into Avernus),17/09/2019,28.0,10.0,24.0,6.0,10.0,13.0,0,1,fiend,Evil,Adventures
cult-fanatic,https://www.aidedd.org/dnd/monstres.php?vo=cult-fanatic,2.0,humanoid (any race),Medium,13,33,any non-good alignment,0,Monster Manual (SRD),12/01/2016,11.0,14.0,12.0,10.0,13.0,14.0,0,0,humanoid,Good,Monster Manual (SRD)
cultist,https://www.aidedd.org/dnd/monstres.php?vo=cultist,0.125,humanoid (any race),Medium,12,9,any non-good alignment,0,Monster Manual (SRD),12/01/2016,11.0,12.0,10.0,10.0,11.0,10.0,0,0,humanoid,Good,Monster Manual (SRD)
cyclops,https://www.aidedd.org/dnd/monstres.php?vo=cyclops,6.0,giant,Huge,14,138,chaotic neutral,0,Monster Manual (SRD),12/01/2016,22.0,11.0,20.0,8.0,6.0,10.0,0,0,giant,Neutral,Monster Manual (SRD)
dao,https://www.aidedd.org/dnd/monstres.php?vo=dao,11.0,elemental,Large,18,187,neutral evil,0,Monster Manual (BR),03/07/2014,23.0,12.0,24.0,12.0,13.0,14.0,1,0,elemental,Evil,Monster Manual (BR)
darkling,,0.5,fey,Small,14,13,chaotic neutral,0,Volo's Guide to Monsters,15/11/2016,9.0,16.0,12.0,10.0,12.0,10.0,0,0,fey,Neutral,Volo's Guide to Monsters
darkling-elder,,2.0,fey,Medium,15,27,chaotic neutral,0,Volo's Guide to Monsters,15/11/2016,13.0,17.0,12.0,10.0,14.0,13.0,0,0,fey,Neutral,Volo's Guide to Monsters
darkmantle,https://www.aidedd.org/dnd/monstres.php?vo=darkmantle,0.5,monstrosity,Small,11,22,unaligned,0,Monster Manual (SRD),12/01/2016,16.0,12.0,13.0,2.0,10.0,5.0,1,0,monstrosity,Unaligned,Monster Manual (SRD)
death-dog,https://www.aidedd.org/dnd/monstres.php?vo=death-dog,1.0,monstrosity,Medium,12,39,neutral evil,0,Monster Manual (SRD),12/01/2016,15.0,14.0,14.0,3.0,13.0,6.0,0,0,monstrosity,Evil,Monster Manual (SRD)
death-kiss,,10.0,aberration,Large,16,161,neutral evil,0,Volo's Guide to Monsters,15/11/2016,18.0,14.0,18.0,10.0,12.0,10.0,1,0,aberration,Evil,Volo's Guide to Monsters
death-knight,,17.0,undead,Medium,20,180,chaotic evil,0,Monster Manual,30/09/2014,20.0,11.0,20.0,12.0,16.0,18.0,0,0,undead,Evil,Monster Manual
death-slaad,,10.0,aberration (shapechanger),Medium,18,170,chaotic evil,0,Monster Manual,30/09/2014,20.0,15.0,19.0,15.0,10.0,16.0,0,0,aberration,Evil,Monster Manual
death-tyrant,,14.0,undead,Large,19,187,lawful evil,1,Monster Manual,30/09/2014,10.0,14.0,14.0,19.0,15.0,19.0,1,0,undead,Evil,Monster Manual
death-s-head-of-bhaal,,5.0,humanoid (human),Medium,15,76,chaotic evil,0,Adventures (Descent into Avernus),17/09/2019,20.0,20.0,20.0,14.0,13.0,16.0,0,0,humanoid,Evil,Adventures
deathlock,,4.0,undead,Medium,12,36,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,15.0,10.0,14.0,12.0,16.0,0,0,undead,Evil,Mordenkainen's Tome of Foes
deathlock-mastermind,,8.0,undead,Medium,13,110,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,16.0,12.0,15.0,12.0,17.0,0,0,undead,Evil,Mordenkainen's Tome of Foes
deathlock-wight,,3.0,undead,Medium,12,37,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,14.0,16.0,12.0,14.0,16.0,0,0,undead,Evil,Mordenkainen's Tome of Foes
deep-gnome-svirfneblin,https://www.aidedd.org/dnd/monstres.php?vo=deep-gnome-svirfneblin,0.5,humanoid (gnome),Small,15,16,neutral good,0,Monster Manual (SRD),12/01/2016,15.0,14.0,14.0,12.0,10.0,9.0,0,0,humanoid,Good,Monster Manual (SRD)
deep-scion,,3.0,humanoid (shapechanger),Medium,11,67,neutral evil,0,Volo's Guide to Monsters,15/11/2016,18.0,13.0,16.0,10.0,12.0,14.0,0,1,humanoid,Evil,Volo's Guide to Monsters
deer,https://www.aidedd.org/dnd/monstres.php?vo=deer,0.0,beast,Medium,13,4,unaligned,0,Monster Manual (SRD),12/01/2016,11.0,16.0,11.0,2.0,14.0,5.0,0,0,beast,Unaligned,Monster Manual (SRD)
deinonychus,,1.0,beast,Medium,13,26,unaligned,0,Adventures (Tomb of Annihilation),19/09/2017,15.0,15.0,14.0,4.0,12.0,6.0,0,0,beast,Unaligned,Adventures
demilich,,18.0,undead,Tiny,20,80,neutral evil,1,Monster Manual,30/09/2014,1.0,20.0,10.0,20.0,17.0,20.0,1,0,undead,Evil,Monster Manual
demogorgon,,26.0,fiend (demon),Huge,22,406,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,29.0,14.0,26.0,20.0,17.0,25.0,0,1,fiend,Evil,Mordenkainen's Tome of Foes
derro,,0.25,humanoid (derro),Small,13,13,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,10.0,14.0,12.0,11.0,5.0,9.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
derro-savant,,3.0,humanoid (derro),Small,13,36,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,9.0,14.0,12.0,11.0,5.0,14.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
deva,https://www.aidedd.org/dnd/monstres.php?vo=deva,10.0,celestial,Medium,17,136,lawful good,0,Monster Manual (SRD),12/01/2016,18.0,18.0,18.0,17.0,20.0,20.0,1,0,celestial,Good,Monster Manual (SRD)
devilroot,https://www.aidedd.org/dnd/monstres.php?vo=devilroot,7.0,plant,Medium,15,105,neutral evil,0,Extra (AideDD),,17.0,11.0,17.0,12.0,14.0,14.0,0,0,plant,Evil,Extra
devourer,,13.0,fiend,Large,16,178,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,20.0,12.0,20.0,13.0,10.0,16.0,0,0,fiend,Evil,Volo's Guide to Monsters
dhergoloth,,7.0,fiend (yugoloth),Medium,15,119,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,17.0,10.0,19.0,7.0,10.0,9.0,0,0,fiend,Evil,Mordenkainen's Tome of Foes
dimetrodon,,0.25,beast,Medium,12,19,unaligned,0,Adventures (Tomb of Annihilation),19/09/2017,14.0,10.0,15.0,2.0,10.0,5.0,0,1,beast,Unaligned,Adventures
dire-troll,,13.0,giant,Huge,15,172,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,22.0,15.0,21.0,9.0,11.0,5.0,0,0,giant,Evil,Mordenkainen's Tome of Foes
dire-wolf,https://www.aidedd.org/dnd/monstres.php?vo=dire-wolf,1.0,beast,Large,14,37,unaligned,0,Monster Manual (SRD),12/01/2016,17.0,15.0,15.0,3.0,12.0,7.0,0,0,beast,Unaligned,Monster Manual (SRD)
displacer-beast,,3.0,monstrosity,Large,13,85,lawful evil,0,Monster Manual,30/09/2014,18.0,15.0,16.0,6.0,12.0,8.0,0,0,monstrosity,Evil,Monster Manual
diviner,,8.0,humanoid (any race),Medium,12,67,any alignment,0,Volo's Guide to Monsters,15/11/2016,9.0,14.0,11.0,18.0,12.0,11.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
djinni,https://www.aidedd.org/dnd/monstres.php?vo=djinni,11.0,elemental,Large,17,161,chaotic good,0,Monster Manual (SRD),12/01/2016,21.0,15.0,22.0,15.0,16.0,20.0,1,0,elemental,Good,Monster Manual (SRD)
dolphin,https://www.aidedd.org/dnd/monstres.php?vo=dolphin,0.125,beast,Medium,12,11,unaligned,0,Volo's Guide to Monsters,15/11/2016,14.0,13.0,13.0,6.0,12.0,7.0,0,1,beast,Unaligned,Volo's Guide to Monsters
doppelganger,https://www.aidedd.org/dnd/monstres.php?vo=doppelganger,3.0,monstrosity (shapechanger),Medium,14,52,neutral,0,Monster Manual (SRD),12/01/2016,11.0,18.0,14.0,11.0,12.0,14.0,0,0,monstrosity,Neutral,Monster Manual (SRD)
draegloth,,7.0,fiend (demon),Large,15,123,chaotic evil,0,Volo's Guide to Monsters,15/11/2016,20.0,15.0,18.0,13.0,11.0,11.0,0,0,fiend,Evil,Volo's Guide to Monsters
draft-horse,https://www.aidedd.org/dnd/monstres.php?vo=draft-horse,0.25,beast,Large,10,19,unaligned,0,Monster Manual (SRD),12/01/2016,18.0,10.0,12.0,2.0,11.0,7.0,0,0,beast,Unaligned,Monster Manual (SRD)
dragon-turtle,https://www.aidedd.org/dnd/monstres.php?vo=dragon-turtle,17.0,dragon,Gargantuan,20,341,neutral,0,Monster Manual (SRD),12/01/2016,25.0,10.0,20.0,10.0,12.0,12.0,0,1,dragon,Neutral,Monster Manual (SRD)
dragonbait,,5.0,humanoid (saurial),Medium,17,120,lawful good,0,Adventures (Tomb of Annihilation),19/09/2017,15.0,13.0,17.0,14.0,16.0,18.0,0,0,humanoid,Good,Adventures
dretch,https://www.aidedd.org/dnd/monstres.php?vo=dretch,0.25,fiend (demon),Small,11,18,chaotic evil,0,Monster Manual (SRD),12/01/2016,11.0,11.0,12.0,5.0,8.0,3.0,0,0,fiend,Evil,Monster Manual (SRD)
drider,https://www.aidedd.org/dnd/monstres.php?vo=drider,6.0,monstrosity,Large,19,123,chaotic evil,0,Monster Manual (SRD),12/01/2016,16.0,16.0,18.0,13.0,14.0,12.0,0,0,monstrosity,Evil,Monster Manual (SRD)
drow,https://www.aidedd.org/dnd/monstres.php?vo=drow,0.25,humanoid (elf),Medium,15,13,neutral evil,0,Monster Manual (SRD),12/01/2016,10.0,14.0,10.0,11.0,11.0,12.0,0,0,humanoid,Evil,Monster Manual (SRD)
drow-arachnomancer,,13.0,humanoid (elf),Medium,15,162,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,17.0,14.0,19.0,14.0,16.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
drow-elite-warrior,,5.0,humanoid (elf),Medium,18,71,neutral evil,0,Monster Manual,30/09/2014,13.0,18.0,14.0,11.0,13.0,12.0,0,0,humanoid,Evil,Monster Manual
drow-favored-consort,,18.0,humanoid (elf),Medium,15,225,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,15.0,20.0,16.0,18.0,15.0,18.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
drow-house-captain,https://www.aidedd.org/dnd/monstres.php?vo=drow-house-captain,9.0,humanoid (elf),Medium,16,162,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,14.0,19.0,15.0,12.0,14.0,13.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
drow-inquisitor,https://www.aidedd.org/dnd/monstres.php?vo=drow-inquisitor,14.0,humanoid (elf),Medium,16,143,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,15.0,14.0,16.0,21.0,20.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
drow-mage,https://www.aidedd.org/dnd/monstres.php?vo=drow-mage,7.0,humanoid (elf),Medium,12,45,neutral evil,0,Monster Manual (BR),03/07/2014,9.0,14.0,10.0,17.0,13.0,12.0,0,0,humanoid,Evil,Monster Manual (BR)
drow-matron-mother,,20.0,humanoid (elf),Medium,17,262,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,12.0,18.0,16.0,17.0,21.0,22.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
drow-priestress-of-lolth,,8.0,humanoid (elf),Medium,16,71,neutral evil,0,Monster Manual,30/09/2014,10.0,14.0,12.0,13.0,17.0,18.0,0,0,humanoid,Evil,Monster Manual
drow-shadowblade,,11.0,humanoid (elf),Medium,17,150,neutral evil,0,Mordenkainen's Tome of Foes,29/05/2018,14.0,21.0,16.0,12.0,14.0,13.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
druid,https://www.aidedd.org/dnd/monstres.php?vo=druid,2.0,humanoid (any race),Medium,11,27,any alignment,0,Monster Manual (SRD),12/01/2016,10.0,12.0,13.0,12.0,15.0,11.0,0,0,humanoid,Neutral,Monster Manual (SRD)
dryad,https://www.aidedd.org/dnd/monstres.php?vo=dryad,1.0,fey,Medium,11,22,neutral,0,Monster Manual (SRD),12/01/2016,10.0,12.0,11.0,14.0,15.0,18.0,0,0,fey,Neutral,Monster Manual (SRD)
duergar,https://www.aidedd.org/dnd/monstres.php?vo=duergar,1.0,humanoid (dwarf),Medium,16,26,lawful evil,0,Monster Manual (SRD),12/01/2016,14.0,11.0,14.0,11.0,10.0,9.0,0,0,humanoid,Evil,Monster Manual (SRD)
duergar-despot,,12.0,humanoid (dwarf),Medium,21,119,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,20.0,5.0,19.0,15.0,14.0,13.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
duergar-kavalrachni,,2.0,humanoid (dwarf),Medium,16,26,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,14.0,11.0,14.0,11.0,10.0,9.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
duergar-mind-master,,2.0,humanoid (dwarf),Medium,14,39,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,17.0,14.0,15.0,10.0,12.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
duergar-soulblade,,1.0,humanoid (dwarf),Medium,14,18,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,11.0,16.0,10.0,11.0,10.0,12.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
duergar-stone-guard,,2.0,humanoid (dwarf),Medium,18,39,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,18.0,11.0,14.0,11.0,10.0,9.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
duergar-warlord,,6.0,humanoid (dwarf),Medium,20,75,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,18.0,11.0,17.0,12.0,12.0,14.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
duergar-xarrorn,,2.0,humanoid (dwarf),Medium,18,26,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,16.0,11.0,14.0,11.0,10.0,9.0,0,0,humanoid,Evil,Mordenkainen's Tome of Foes
duodrone,,0.25,construct,Medium,15,11,lawful neutral,0,Monster Manual,30/09/2014,11.0,13.0,12.0,6.0,10.0,7.0,0,0,construct,Neutral,Monster Manual
dust-mephit,https://www.aidedd.org/dnd/monstres.php?vo=dust-mephit,0.5,elemental,Small,12,17,neutral evil,0,Monster Manual (SRD),12/01/2016,5.0,14.0,10.0,9.0,11.0,10.0,1,0,elemental,Evil,Monster Manual (SRD)
dybbuk,,4.0,fiend (demon),Medium,14,37,chaotic evil,0,Mordenkainen's Tome of Foes,29/05/2018,6.0,19.0,16.0,16.0,15.0,14.0,1,0,fiend,Evil,Mordenkainen's Tome of Foes
eagle,https://www.aidedd.org/dnd/monstres.php?vo=eagle,0.0,beast,Small,12,3,unaligned,0,Monster Manual (SRD),12/01/2016,6.0,15.0,10.0,2.0,14.0,7.0,1,0,beast,Unaligned,Monster Manual (SRD)
earth-elemental,https://www.aidedd.org/dnd/monstres.php?vo=earth-elemental,5.0,elemental,Large,17,126,neutral,0,Monster Manual (SRD),12/01/2016,20.0,8.0,20.0,5.0,10.0,5.0,0,0,elemental,Neutral,Monster Manual (SRD)
earth-elemental-myrmidon,,7.0,elemental,Medium,18,127,neutral,0,Mordenkainen's Tome of Foes,29/05/2018,18.0,10.0,17.0,8.0,10.0,10.0,0,0,elemental,Neutral,Mordenkainen's Tome of Foes
eblis,,1.0,monstrosity,Large,13,26,neutral evil,0,Adventures (Tomb of Annihilation),19/09/2017,11.0,16.0,12.0,12.0,14.0,11.0,1,0,monstrosity,Evil,Adventures
efreeti,https://www.aidedd.org/dnd/monstres.php?vo=efreeti,11.0,elemental,Large,17,200,lawful evil,0,Monster Manual (SRD),12/01/2016,22.0,12.0,24.0,16.0,15.0,16.0,1,0,elemental,Evil,Monster Manual (SRD)
eidolon,,12.0,undead,Medium,9,63,any alignment,0,Mordenkainen's Tome of Foes,29/05/2018,7.0,8.0,9.0,14.0,19.0,16.0,1,0,undead,Neutral,Mordenkainen's Tome of Foes
elder-brain,,14.0,aberration,Large,10,210,lawful evil,1,Volo's Guide to Monsters,15/11/2016,15.0,10.0,20.0,21.0,19.0,24.0,0,1,aberration,Evil,Volo's Guide to Monsters
elder-oblex,,10.0,ooze,Huge,16,115,lawful evil,0,Mordenkainen's Tome of Foes,29/05/2018,15.0,16.0,21.0,22.0,13.0,18.0,0,0,ooze,Evil,Mordenkainen's Tome of Foes
elder-tempest,,23.0,elemental,Gargantuan,19,264,neutral,0,Mordenkainen's Tome of Foes,29/05/2018,23.0,28.0,23.0,2.0,21.0,18.0,1,0,elemental,Neutral,Mordenkainen's Tome of Foes
elephant,https://www.aidedd.org/dnd/monstres.php?vo=elephant,4.0,beast,Huge,12,76,unaligned,0,Monster Manual (SRD),12/01/2016,22.0,9.0,17.0,3.0,11.0,6.0,0,0,beast,Unaligned,Monster Manual (SRD)
elk,https://www.aidedd.org/dnd/monstres.php?vo=elk,0.25,beast,Large,10,13,unaligned,0,Monster Manual (SRD),12/01/2016,16.0,10.0,12.0,2.0,10.0,6.0,0,0,beast,Unaligned,Monster Manual (SRD)
empyrean,,23.0,celestial (titan),Huge,22,313,chaotic good,1,Monster Manual,30/09/2014,30.0,21.0,30.0,21.0,22.0,27.0,1,1,celestial,Good,Monster Manual
enchanter,,5.0,humanoid (any race),Medium,12,40,any alignment,0,Volo's Guide to Monsters,15/11/2016,9.0,14.0,11.0,17.0,12.0,11.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
erinyes,https://www.aidedd.org/dnd/monstres.php?vo=erinyes,12.0,fiend (devil),Medium,18,153,lawful evil,0,Monster Manual (SRD),12/01/2016,18.0,16.0,18.0,14.0,14.0,18.0,1,0,fiend,Evil,Monster Manual (SRD)
ettercap,https://www.aidedd.org/dnd/monstres.php?vo=ettercap,2.0,monstrosity,Medium,13,44,neutral evil,0,Monster Manual (SRD),12/01/2016,14.0,15.0,13.0,7.0,12.0,8.0,0,0,monstrosity,Evil,Monster Manual (SRD)
ettin,https://www.aidedd.org/dnd/monstres.php?vo=ettin,4.0,giant,Large,12,85,chaotic evil,0,Monster Manual (SRD),12/01/2016,21.0,8.0,17.0,6.0,10.0,8.0,0,0,giant,Evil,Monster Manual (SRD)
evoker,,9.0,humanoid (any race),Medium,12,66,any alignment,0,Volo's Guide to Monsters,15/11/2016,9.0,14.0,12.0,17.0,12.0,11.0,0,0,humanoid,Neutral,Volo's Guide to Monsters
expert-lvl-1,,0.0,humanoid (any race),Medium,14,11,any alignment,0,Essentials Kit,03/09/2019,10.0,15.0,12.0,13.0,10.0,14.0,0,0,humanoid,Neutral,Essentials Kit
expert-lvl-2,,0.0,humanoid (any race),Medium,14,16,any alignment,0,Essentials Kit,03/09/2019,10.0,15.0,12.0,13.0,10.0,14.0,0,0,humanoid,Neutral,Essentials Kit
expert-lvl-3,,0.0,humanoid (any race),Medium,14,22,any alignment,0,Essentials Kit,03/09/2019,10.0,15.0,12.0,13.0,10.0,14.0,0,0,humanoid,Neutral,Essentials Kit
expert-lvl-4,,0.0,humanoid (any race),Medium,14,27,any alignment,0,Essentials Kit,03/09/2019,10.0,17.0,12.0,13.0,10.0,14.0,0,0,humanoid,Neutral,Essentials Kit
expert-lvl-5,,0.0,humanoid (any race),Medium,14,33,any alignment,0,Essentials Kit,03/09/2019,10.0,17.0,12.0,13.0,10.0,14.0,0,0,humanoid,Neutral,Essentials Kit
expert-lvl-6,,0.0,humanoid (any race),Medium,14,38,any alignment,0,Essentials Kit,03/09/2019,10.0,17.0,12.0,13.0,10.0,14.0,0,0,humanoid,Neutral,Essentials Kit
faerie-dragon,,1.0,dragon,Tiny,15,14,chaotic good,0,Monster Manual,30/09/2014,3.0,20.0,13.0,14.0,12.0,16.0,1,0,dragon,Good,Monster Manual
female-steeder,,1.0,monstrosity,Large,14,30,unaligned,0,Mordenkainen's Tome of Foes,29/05/2018,15.0,16.0,14.0,2.0,10.0,3.0,0,0,monstrosity,Unaligned,Mordenkainen's Tome of Foes
fire-elemental,https://www.aidedd.org/dnd/monstres.php?vo=fire-elemental,5.0,elemental,Large,13,102,neutral,0,Monster Manual (SRD),12/01/2016,10.0,17.0,16.0,6.0,10.0,7.0,0,0,elemental,Neutral,Monster Manual (SRD)
fire-elemental-myrmidon,,7.0,elemental,Medium,18,123,neutral,0,Mordenkainen's Tome of Foes,29/05/2018,13.0,18.0,15.0,9.0,10.0,10.0,0,0,elemental,Neutral,Mordenkainen's Tome of Foes
